number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory
243,5-11-2017,Interview with Time ,"""You know we've gotten billions of dollars more in NATO than hat (sic in transcript) we're getting. All because of me. I mean it's not like a bragging thing, I'm just saying. If Hillary Clinton would have gotten in, she wouldn't even know that we're getting screwed by everybody. But we have gotten billions of dollars more coming in.""","A case can be made that Trump deserves partial credit for some NATO countries boosting their defence spending, but ""all because of me"" is objectively false. Several NATO countries already planned to increase their spending before Trump took office, and some of them appear to be spending more because of Russia's recent regional aggression. While European leaders are taking Trump's demands ""very seriously,"" it's ""way too early to tell"" if there will be a real Trump effect on their spending, Magnus Nordenman, director of the Atlantic Council's Transatlantic Security Initiative, told the publication Government Executive.",NATO spending,no,http://time.com/4775040/donald-trump-time-interview-being-president/,NATO,Hillary Clinton,,,Interviews
244,5-13-2017,Interview with Fox News's Jeanine Pirro,"""Obamacare is dead.""","We allow Trump rhetorical license to call Obamacare ""collapsing"" and even ""exploding,"" though experts say neither is true. But it is plainly false to say the law is ""dead."" While its marketplaces have problems, they are still functioning and providing insurance to millions; so is its Medicaid expansion.",Obamacare dead,Yes,https://www.youtube.com/watch?v=EazZCOMhEKg,Health care,Exaggeration,Barack Obama,,Interviews
245,5-13-2017,Interview with Fox News's Jeanine Pirro,"""Don't forget: before the election, the Republicans were going to lose the Senate, going to lose the House, and going to lose, of course, the presidency."" ""We were supposed to lose all three. And not only did we lose all three -- they said it will be perhaps the greatest election failure in the history of this country.""","Trump is correct that he defied conventional wisdom in winning the presidency, and also that conventional wisdom held that the Republicans would lose control of the Senate. But he goes wrong in saying they were ""supposed to lose all three"" -- the overwhelming majority of analysts believed that the Republicans would maintain control of the House of Representatives.",Republican House,no,https://www.youtube.com/watch?v=EazZCOMhEKg,Election,Exaggeration,Congress,,Interviews
246,5-13-2017,Interview with Fox News's Jeanine Pirro,"""Another president, Jeanine, will sit in the Oval Office and do practically nothing all day. I'm doing every minute of the day, I'm doing something.""",There is no evidence at all that pre-Trump presidents have sat around doing nothing.,Presidents do nothing,no,https://www.youtube.com/watch?v=EazZCOMhEKg,Exaggeration,Past presidents,,,Interviews
247,5-13-2017,Interview with Fox News's Jeanine Pirro,"""Cory Booker ought to get his address right where he lived when he ran for mayor. That's what he ought to do.""","This is Trump falsely suggesting that Booker, now a senator for New Jersey, provided inaccurate information about his residency when he ran for mayor of Newark. In fact, he did not. The conservative website Daily Caller published a story in 2013 claiming that Booker did not actually live in the city, but the claim was definitively debunked that same week.",Cory Booker address,Yes,https://www.youtube.com/watch?v=EazZCOMhEKg,Democrats,,,,Interviews
248,5-13-2017,Interview with Fox News's Jeanine Pirro,"""(James) Clapper is convinced, other people are convinced, everybody is convinced. They're saying there is no collusion...they're all saying there is no collusion, there is no collusion.""","It is not true that everybody is convinced there was no collusion between his campaign and Russian meddling in the presidential election; the FBI, in fact, is investigating whether there was collusion or not. The day after Trump taped this interview, Clapper, the former director of national intelligence, made clear that he does not know if there was collusion or not.",No collusion,Yes,https://www.youtube.com/watch?v=EazZCOMhEKg,Election,Russian ties,US intelligence,,Interviews
249,5-13-2017,Interview with Fox News's Jeanine Pirro,"""Podesta -- who by the way has a company with his brother as I understand it in Russia...""","John Podesta, who served as chairman as Hillary Clinton's campaign, does not have a company in Russia, either alone or with his brother Tony Podesta, a prominent lobbyist. Tony Podesta does not have any company in Russia, a spokesman for his company says.",John Podesta company,Yes,https://www.youtube.com/watch?v=EazZCOMhEKg,Hillary Clinton,Russian ties,,,Interviews
250,5-13-2017,Interview with Fox News's Jeanine Pirro,"""Everybody also agrees it (Russia's hacking) didn't change the election. Didn't change it at all. So that's important. That's important to me.""","Many people -- including much of the Democratic Party -- do not agree. While the true impact of the hacking is impossible to prove either way, it is inaccurate to say there is a consensus view that it was inconsequential.",Russia impact,no,https://www.youtube.com/watch?v=EazZCOMhEKg,Election,Russian ties,,,Interviews
251,5-18-2017,Joint press conference with Colombian President Juan Mauel Santos,"""And MS-13, likewise -- a horrible, horrible, large group of gangs that have been let into our country over a fairly short period of time...""","MS-13 originated in the U.S.; it was not ""let in"" from abroad, although some current members were born abroad. The gang has existed since the 1980s, so Trump's ""fairly short period of time"" may be additionally misleading.",MS-13 origin,Yes,https://www.whitehouse.gov/the-press-office/2017/05/18/remarks-president-trump-and-president-santos-colombia-joint-press,Immigration,Crime,MS-13,,Press conferences or scrums
252,5-18-2017,Joint press conference with Colombian President Juan Mauel Santos,"""But they've literally taken over towns and cities of the United States.""","MS-13 has not ""literally taken over"" towns and cities.",MS-13 takeover,no,https://www.whitehouse.gov/the-press-office/2017/05/18/remarks-president-trump-and-president-santos-colombia-joint-press,Immigration,Crime,MS-13,,Press conferences or scrums
253,5-18-2017,Joint press conference with Colombian President Juan Mauel Santos,"""Obamacare is collapsing. It's dead; it's gone. There's nothing to compare anything to because we don't have healthcare in this country.""","Obamacare has problems, but it very much exists, and it continues to provide health insurance to millions. Experts have indeed managed to compare Trump's health plan to Obamacare; the Congressional Budget Office has concluded that the second version of the plan would leave 23 million additional people without health insurance in 2026.",Obamacare dead,Yes,https://www.whitehouse.gov/the-press-office/2017/05/18/remarks-president-trump-and-president-santos-colombia-joint-press,Health care,Exaggeration,Barack Obama,,Press conferences or scrums
254,5-18-2017,Joint press conference with Colombian President Juan Mauel Santos,"""The other is something I can only tell you: there was no collusion. And everybody --  even my enemies have said, there is no collusion.""",Trump's enemies have not said this.,No collusion,Yes,https://www.whitehouse.gov/the-press-office/2017/05/18/remarks-president-trump-and-president-santos-colombia-joint-press,Election,Russian ties,,,Press conferences or scrums
255,5-21-2017,Saudi Arabia speech on terrorism and Islam,"""A new spirit of optimism is sweeping our country: in just a few months, we have...made record investments in our military that will protect the safety of our people and enhance the security of our wonderful friends and allies.""","Trump is not making record investments in the military. The Associated Press reports: ""The 10 percent increase he called for in his March budget outline has been exceeded three times in recent history -- the base military budget went up by 14.3 percent, in 2002, 11.3 percent in 2003 and 10.9 percent in 2008, according to the Pentagon.""",Defence spending,Yes,https://www.whitehouse.gov/the-press-office/2017/05/21/president-trumps-speech-arab-islamic-american-summit,Military,Exaggeration,,,Speeches
